銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
146019218,CAL_NK225_210108_19250,CAL,202101,19250,6270,6352,25634.34,1,0.0791,50,日経225
146019518,CAL_NK225_210108_19500,CAL,202101,19500,6030,6102,25634.34,1,0.0791,50,日経225
146019718,CAL_NK225_210108_19750,CAL,202101,19750,5780,5852,25634.34,1,0.0791,50,日経225
146010018,CAL_NK225_210108_20000,CAL,202101,20000,5530,5602,25634.34,1,0.0791,50,日経225
146010218,CAL_NK225_210108_20250,CAL,202101,20250,5280,5352,25634.34,1,0.0791,50,日経225
146010518,CAL_NK225_210108_20500,CAL,202101,20500,5040,5103,25634.34,1,0.0791,50,日経225
146010718,CAL_NK225_210108_20750,CAL,202101,20750,4790,4853,25634.34,1,0.0791,50,日経225
146011018,CAL_NK225_210108_21000,CAL,202101,21000,4550,4603,25634.34,1,0.0791,50,日経225
146011118,CAL_NK225_210108_21125,CAL,202101,21125,4430,4478,25634.34,1,0.0791,50,日経225
146011218,CAL_NK225_210108_21250,CAL,202101,21250,4300,4353,25634.34,1,0.0791,50,日経225
146011318,CAL_NK225_210108_21375,CAL,202101,21375,4190,4228,25634.34,1,0.0791,50,日経225
146011518,CAL_NK225_210108_21500,CAL,202101,21500,4060,4103,25634.34,1,0.0791,50,日経225
146011618,CAL_NK225_210108_21625,CAL,202101,21625,3940,3978,25634.34,1,0.0791,50,日経225
146011718,CAL_NK225_210108_21750,CAL,202101,21750,3820,3853,25634.34,1,0.0791,50,日経225
146011818,CAL_NK225_210108_21875,CAL,202101,21875,3700,3728,25634.34,1,0.0791,50,日経225
146012018,CAL_NK225_210108_22000,CAL,202101,22000,3580,3603,25634.34,1,0.0791,50,日経225
146012118,CAL_NK225_210108_22125,CAL,202101,22125,3460,3478,25634.34,1,0.0791,50,日経225
146012218,CAL_NK225_210108_22250,CAL,202101,22250,3340,3353,25634.34,1,0.0791,50,日経225
146012318,CAL_NK225_210108_22375,CAL,202101,22375,3230,3230,25634.34,14.3636,0.0791,50,日経225
146012518,CAL_NK225_210108_22500,CAL,202101,22500,3120,3120,25634.34,18.2401,0.0791,50,日経225
146012618,CAL_NK225_210108_22625,CAL,202101,22625,2990,2990,25634.34,16.6273,0.0791,50,日経225
146012718,CAL_NK225_210108_22750,CAL,202101,22750,2870,2870,25634.34,16.9127,0.0791,50,日経225
